store_name,date,type,floor,enter_number,enter_rate,female_number,female_rate,male_number,male_rate,teenager_number,teenager_rate,youth_number,youth_rate,middle-aged_number,middle-aged_rate,senior_number,senior_rate,dropdown
minipeace,2021-02-11,fashions,L3,162,7,116,72,46,28,7,4,54,47,75 ,46,2,3,
minipeace,2021-02-12,fashions,L3,196,5,145,74,51,26,10,5,61,42,94 ,48,3,5,
minipeace,2021-02-13,fashions,L3,195,4,135,69,60,31,7,4,62,46,86 ,44,4,6,
minipeace,2021-02-14,fashions,L3,234,4,155,66,79,34,17,7,72,46,96 ,41,4,6,
minipeace,2021-02-15,fashions,L3,182,4,123,68,59,32,10,6,59,48,73 ,40,4,6,
minipeace,2021-02-16,fashions,L3,186,4,130,70,56,30,12,6,59,45,74 ,40,5,9,
minipeace,2021-02-17,fashions,L3,174,4,116,67,58,33,11,6,49,42,84 ,48,2,4,
minipeace,2021-02-18,fashions,L3,76,4,47,62,29,38,4,5,21,45,33 ,44,1,5,
minipeace,2021-02-19,fashions,L3,86,4,59,69,27,31,4,4,30,51,35 ,41,1,4,
minipeace,2021-02-20,fashions,L3,101,4,76,75,25,25,8,8,34,44,39 ,39,3,9,
minipeace,2021-02-21,fashions,L3,155,5,102,66,53,34,12,8,47,46,62 ,40,3,6,
minipeace,2021-02-22,fashions,L3,72,5,50,69,22,31,6,8,20,41,32 ,45,1,6,
minipeace,2021-02-23,fashions,L3,74,5,51,69,23,31,3,4,28,55,29 ,39,0,1,
minipeace,2021-02-24,fashions,L3,98,6,80,82,18,18,7,8,35,44,38 ,39,3,9,
minipeace,2021-02-25,fashions,L3,98,6,70,72,28,28,8,8,34,48,37 ,38,2,6,
minipeace,2021-02-26,fashions,L3,105,4,81,77,24,23,4,4,45,56,38 ,36,2,4,
minipeace,2021-02-27,fashions,L3,170,4,129,76,41,24,11,6,65,51,65 ,38,3,5,
minipeace,2021-02-28,fashions,L3,151,5,111,73,40,27,11,7,49,44,63 ,42,3,7,
Vowsoo,2021-02-01,kids_babies,L3,158,3,83,52,75,48,5,3,38,45,74 ,47,2,5,
Vowsoo,2021-02-02,kids_babies,L3,116,2,59,51,57,49,3,3,25,41,61 ,53,1,3,
Vowsoo,2021-02-03,kids_babies,L3,120,2,63,53,57,47,3,3,26,41,49 ,41,4,15,
Vowsoo,2021-02-04,kids_babies,L3,101,2,45,44,56,56,3,3,18,41,54 ,53,1,3,
Vowsoo,2021-02-05,kids_babies,L3,97,2,36,37,61,63,6,6,16,46,37 ,38,2,9,
Vowsoo,2021-02-06,kids_babies,L3,239,2,107,45,132,55,5,2,35,33,134 ,56,3,8,
Vowsoo,2021-02-07,kids_babies,L3,216,2,83,38,133,62,6,3,28,34,110 ,51,4,13,
Vowsoo,2021-02-08,kids_babies,L3,178,2,89,50,89,50,5,3,36,41,77 ,43,5,14,
Vowsoo,2021-02-09,kids_babies,L3,111,1,55,49,56,51,2,2,21,39,59 ,53,1,6,
Vowsoo,2021-02-10,kids_babies,L3,117,1,51,43,66,57,2,1,23,46,55 ,47,1,6,
Vowsoo,2021-02-11,kids_babies,L3,68,1,31,45,37,55,3,4,11,35,34 ,50,1,11,
Vowsoo,2021-02-12,kids_babies,L3,405,2,195,48,210,52,10,2,88,45,182 ,45,6,7,
Vowsoo,2021-02-13,kids_babies,L3,533,2,252,47,281,53,5,1,87,35,293 ,55,8,9,
Vowsoo,2021-02-14,kids_babies,L3,595,2,287,48,308,52,8,1,111,39,315 ,53,8,7,
Vowsoo,2021-02-15,kids_babies,L3,282,1,135,48,147,52,3,1,51,38,144 ,51,5,10,
Vowsoo,2021-02-16,kids_babies,L3,370,1,171,46,199,54,8,2,72,42,178 ,48,6,8,
Vowsoo,2021-02-17,kids_babies,L3,374,2,177,47,197,53,3,1,87,49,168 ,45,4,5,
Vowsoo,2021-02-18,kids_babies,L3,217,2,84,39,133,61,5,2,40,48,91 ,42,3,8,
Vowsoo,2021-02-19,kids_babies,L3,245,3,123,50,122,50,7,3,62,50,98 ,40,5,8,
Vowsoo,2021-02-20,kids_babies,L3,322,3,152,47,170,53,10,3,81,53,126 ,39,4,4,
Vowsoo,2021-02-21,kids_babies,L3,538,4,233,43,305,57,24,4,118,51,210 ,39,7,6,
Vowsoo,2021-02-22,kids_babies,L3,314,5,163,52,151,48,16,5,88,54,116 ,37,3,4,
Vowsoo,2021-02-23,kids_babies,L3,285,4,139,49,146,51,7,2,66,47,131 ,46,3,5,
Vowsoo,2021-02-24,kids_babies,L3,315,4,182,58,133,42,14,4,97,53,117 ,37,5,5,
Vowsoo,2021-02-25,kids_babies,L3,357,5,187,52,170,48,13,4,87,46,161 ,45,4,4,
Vowsoo,2021-02-26,kids_babies,L3,332,4,173,52,159,48,20,6,88,51,126 ,38,4,5,
Vowsoo,2021-02-27,kids_babies,L3,692,3,338,49,354,51,14,2,170,50,298 ,43,8,5,
Vowsoo,2021-02-28,kids_babies,L3,647,3,362,56,285,44,9,1,169,47,291 ,45,11,7,
YeeHoo,2021-02-01,facilities,L3,46,2,30,65,16,35,1,3,17,58,16 ,35,1,4,
YeeHoo,2021-02-02,facilities,L3,40,1,25,62,15,38,2,5,11,44,18 ,44,1,6,
YeeHoo,2021-02-03,facilities,L3,55,2,32,58,23,42,3,5,18,57,18 ,33,1,5,
YeeHoo,2021-02-04,facilities,L3,71,2,51,72,20,28,2,3,18,35,37 ,52,2,9,
YeeHoo,2021-02-05,facilities,L3,45,1,32,72,13,28,1,2,18,56,18 ,39,0,2,
YeeHoo,2021-02-06,facilities,L3,122,2,74,61,48,39,8,6,35,48,48 ,39,3,7,
